CustomerID,Cluster
C0001,2
C0002,5
C0003,2
C0004,1
C0005,5
C0006,3
C0007,2
C0008,3
C0009,0
C0010,5
C0011,3
C0012,7
C0013,1
C0014,0
C0015,0
C0016,3
C0017,7
C0018,7
C0019,5
C0020,0
C0021,1
C0022,7
C0023,7
C0024,3
C0025,5
C0026,3
C0027,2
C0028,6
C0029,5
C0030,2
C0031,5
C0032,0
C0033,0
C0034,2
C0035,2
C0036,5
C0037,3
C0038,2
C0039,3
C0040,3
C0041,1
C0042,5
C0043,0
C0044,2
C0045,1
C0046,1
C0047,2
C0048,3
C0049,5
C0050,2
C0051,1
C0052,5
C0053,1
C0054,6
C0055,2
C0056,2
C0057,7
C0058,0
C0059,6
C0060,0
C0061,5
C0062,5
C0063,0
C0064,3
C0065,6
C0066,3
C0067,3
C0068,1
C0069,2
C0070,2
C0071,0
C0072,2
C0073,5
C0074,2
C0075,1
C0076,5
C0077,0
C0078,0
C0079,3
C0080,0
C0081,3
C0082,6
C0083,0
C0084,7
C0085,2
C0086,2
C0087,6
C0088,5
C0089,2
C0090,3
C0091,2
C0092,2
C0093,1
C0094,0
C0095,0
C0096,1
C0097,0
C0098,2
C0099,6
C0100,7
C0101,1
C0102,1
C0103,5
C0104,6
C0105,7
C0106,2
C0107,3
C0108,7
C0109,1
C0110,0
C0111,5
C0112,5
C0113,7
C0114,1
C0115,2
C0116,2
C0117,3
C0118,2
C0119,0
C0120,5
C0121,0
C0122,7
C0123,0
C0124,3
C0125,2
C0126,7
C0127,2
C0128,0
C0129,5
C0130,0
C0131,5
C0132,5
C0133,2
C0134,2
C0135,2
C0136,3
C0137,2
C0138,1
C0139,3
C0140,5
C0141,4
C0142,5
C0143,1
C0144,0
C0145,1
C0146,2
C0147,2
C0148,1
C0149,7
C0150,0
C0151,0
C0152,2
C0153,7
C0154,3
C0155,1
C0156,6
C0157,5
C0158,3
C0159,5
C0160,2
C0161,2
C0162,7
C0163,1
C0164,2
C0165,6
C0166,5
C0167,5
C0168,7
C0169,7
C0170,7
C0171,7
C0172,5
C0173,1
C0174,2
C0175,1
C0176,5
C0177,5
C0178,2
C0179,3
C0180,0
C0181,2
C0182,7
C0183,3
C0184,2
C0185,2
C0186,5
C0187,7
C0188,6
C0189,2
C0190,2
C0191,2
C0192,5
C0193,2
C0194,3
C0195,3
C0196,7
C0197,5
C0198,0
C0199,5
C0200,7
